"","x","y","predicao","variancia"
"1",559897.60652099,9582085.53,309.182277526792,10671.306467849
"2",559907.60652099,9582085.53,309.182277526792,10671.306467849
"3",559917.60652099,9582085.53,309.182277526792,10671.306467849
"4",559927.60652099,9582085.53,309.182277526792,10671.306467849
"5",559937.60652099,9582085.53,309.182277526792,10671.306467849
"6",559947.60652099,9582085.53,309.182277526792,10671.306467849
"7",559957.60652099,9582085.53,309.182277526792,10671.306467849
"8",559967.60652099,9582085.53,309.182277526792,10671.306467849
"9",559977.60652099,9582085.53,309.182277526792,10671.306467849
"10",559987.60652099,9582085.53,309.182277526792,10671.306467849
"11",559997.60652099,9582085.53,309.182277526792,10671.306467849
"12",560007.60652099,9582085.53,309.182277526792,10671.306467849
"13",560017.60652099,9582085.53,309.182277526792,10671.306467849
"14",560027.60652099,9582085.53,309.182277526792,10671.306467849
"15",560037.60652099,9582085.53,309.182277526792,10671.306467849
"16",560047.60652099,9582085.53,309.182277526792,10671.306467849
"17",560057.60652099,9582085.53,309.182277526792,10671.306467849
"18",560067.60652099,9582085.53,309.182277526792,10671.306467849
"19",560077.60652099,9582085.53,309.182277526792,10671.306467849
"20",560087.60652099,9582085.53,309.182277526792,10671.306467849
"21",560097.60652099,9582085.53,309.182277526792,10671.306467849
"22",560107.60652099,9582085.53,309.182277526792,10671.306467849
"23",560117.60652099,9582085.53,309.182277526792,10671.306467849
"24",560127.60652099,9582085.53,309.182277526792,10671.306467849
"25",560137.60652099,9582085.53,309.182277526792,10671.306467849
"26",560147.60652099,9582085.53,309.182277526792,10671.306467849
"27",560157.60652099,9582085.53,309.182277526792,10671.306467849
"28",560167.60652099,9582085.53,309.182277526792,10671.306467849
"29",560177.60652099,9582085.53,309.182277526792,10671.306467849
"30",560187.60652099,9582085.53,309.182277526792,10671.306467849
"31",560197.60652099,9582085.53,309.182277526792,10671.306467849
"32",560207.60652099,9582085.53,309.182277526792,10671.306467849
"33",560217.60652099,9582085.53,309.182277526792,10671.306467849
"34",560227.60652099,9582085.53,309.182277526792,10671.306467849
"35",560237.60652099,9582085.53,309.182277526792,10671.306467849
"36",560247.60652099,9582085.53,309.182277526792,10671.306467849
"37",560257.60652099,9582085.53,309.182277526792,10671.306467849
"38",560267.60652099,9582085.53,309.182277526792,10671.306467849
"39",560277.60652099,9582085.53,309.182277526792,10671.306467849
"40",560287.60652099,9582085.53,309.182277526792,10671.306467849
"41",560297.60652099,9582085.53,309.182277526792,10671.306467849
"42",560307.60652099,9582085.53,309.182277526792,10671.306467849
"43",560317.60652099,9582085.53,309.182277526792,10671.306467849
"44",560327.60652099,9582085.53,309.182277526792,10671.306467849
"45",560337.60652099,9582085.53,309.182277526792,10671.306467849
"46",560347.60652099,9582085.53,309.182277526792,10671.306467849
"47",560357.60652099,9582085.53,309.182277526792,10671.306467849
"48",560367.60652099,9582085.53,309.182277526792,10671.306467849
"49",560377.60652099,9582085.53,309.182277526792,10671.306467849
"50",560387.60652099,9582085.53,309.182277526792,10671.306467849
"51",560397.60652099,9582085.53,309.182277526792,10671.306467849
"52",560407.60652099,9582085.53,309.182277526792,10671.306467849
"53",560417.60652099,9582085.53,309.182277526792,10671.306467849
"54",560427.60652099,9582085.53,309.182277526792,10671.306467849
"55",560437.60652099,9582085.53,309.182277526792,10671.306467849
"56",560447.60652099,9582085.53,309.182277526792,10671.306467849
"57",560457.60652099,9582085.53,309.182277526792,10671.306467849
"58",560467.60652099,9582085.53,309.182277526792,10671.306467849
"59",560477.60652099,9582085.53,309.182277526792,10671.306467849
"60",560487.60652099,9582085.53,309.182277526792,10671.306467849
"61",560497.60652099,9582085.53,309.182277526792,10671.306467849
"62",560507.60652099,9582085.53,309.182277526792,10671.306467849
"63",560517.60652099,9582085.53,309.182277526792,10671.306467849
"64",560527.60652099,9582085.53,309.182277526792,10671.306467849
"65",560537.60652099,9582085.53,309.182277526792,10671.306467849
"66",560547.60652099,9582085.53,309.182277526792,10671.306467849
"67",560557.60652099,9582085.53,309.182277526792,10671.306467849
"68",560567.60652099,9582085.53,309.182277526792,10671.306467849
"69",560577.60652099,9582085.53,309.182277526792,10671.306467849
"70",560587.60652099,9582085.53,309.182277526792,10671.306467849
"71",560597.60652099,9582085.53,309.182277526792,10671.306467849
"72",560607.60652099,9582085.53,309.182277526792,10671.306467849
"73",560617.60652099,9582085.53,309.182277526792,10671.306467849
"74",560627.60652099,9582085.53,309.182277526792,10671.306467849
"75",560637.60652099,9582085.53,309.182277526792,10671.306467849
"76",560647.60652099,9582085.53,309.182277526792,10671.306467849
"77",560657.60652099,9582085.53,309.182277526792,10671.306467849
"78",560667.60652099,9582085.53,309.182277526792,10671.306467849
"79",560677.60652099,9582085.53,309.182277526792,10671.306467849
"80",560687.60652099,9582085.53,309.182277526792,10671.306467849
"81",560697.60652099,9582085.53,309.182277526792,10671.306467849
"82",560707.60652099,9582085.53,309.182277526792,10671.306467849
"83",560717.60652099,9582085.53,309.182277526792,10671.306467849
"84",560727.60652099,9582085.53,309.182277526792,10671.306467849
"85",560737.60652099,9582085.53,309.182277526792,10671.306467849
"86",560747.60652099,9582085.53,309.182277526792,10671.306467849
"87",560757.60652099,9582085.53,309.182277526792,10671.306467849
"88",560767.60652099,9582085.53,309.182277526792,10671.306467849
"89",560777.60652099,9582085.53,309.182277526792,10671.306467849
"90",560787.60652099,9582085.53,309.182277526792,10671.306467849
"91",560797.60652099,9582085.53,309.182277526792,10671.306467849
"92",560807.60652099,9582085.53,309.182277526792,10671.306467849
"93",560817.60652099,9582085.53,309.182277526792,10671.306467849
"94",560827.60652099,9582085.53,309.182277526792,10671.306467849
"95",560837.60652099,9582085.53,309.182277526792,10671.306467849
"96",560847.60652099,9582085.53,309.182277526792,10671.306467849
"97",560857.60652099,9582085.53,309.182277526792,10671.306467849
"98",560867.60652099,9582085.53,309.182277526792,10671.306467849
"99",560877.60652099,9582085.53,309.182277526792,10671.306467849
"100",560887.60652099,9582085.53,309.182277526792,10671.306467849
"101",560897.60652099,9582085.53,309.182277526792,10671.306467849
"102",560907.60652099,9582085.53,309.182277526792,10671.306467849
"103",560917.60652099,9582085.53,309.182277526792,10671.306467849
"104",560927.60652099,9582085.53,309.182277526792,10671.306467849
"105",560937.60652099,9582085.53,309.182277526792,10671.306467849
"106",560947.60652099,9582085.53,309.182277526792,10671.306467849
"107",560957.60652099,9582085.53,309.182277526792,10671.306467849
"108",560967.60652099,9582085.53,309.182277526792,10671.306467849
"109",560977.60652099,9582085.53,309.182277526792,10671.306467849
"110",560987.60652099,9582085.53,309.182277526792,10671.306467849
"111",560997.60652099,9582085.53,309.182277526792,10671.306467849
"112",561007.60652099,9582085.53,309.182277526792,10671.306467849
"113",561017.60652099,9582085.53,309.182277526792,10671.306467849
"114",561027.60652099,9582085.53,309.182277526792,10671.306467849
"115",561037.60652099,9582085.53,309.182277526792,10671.306467849
"116",561047.60652099,9582085.53,309.182277526792,10671.306467849
"117",561057.60652099,9582085.53,309.182277526792,10671.306467849
"118",561067.60652099,9582085.53,309.182277526792,10671.306467849
"119",561077.60652099,9582085.53,309.182277526792,10671.306467849
"120",561087.60652099,9582085.53,309.182277526792,10671.306467849
"121",561097.60652099,9582085.53,309.182277526792,10671.306467849
"122",561107.60652099,9582085.53,309.182277526792,10671.306467849
"123",559897.60652099,9582095.53,309.182277526792,10671.306467849
"124",559907.60652099,9582095.53,309.182277526792,10671.306467849
"125",559917.60652099,9582095.53,309.182277526792,10671.306467849
"126",559927.60652099,9582095.53,309.182277526792,10671.306467849
"127",559937.60652099,9582095.53,309.182277526792,10671.306467849
"128",559947.60652099,9582095.53,309.182277526792,10671.306467849
"129",559957.60652099,9582095.53,309.182277526792,10671.306467849
"130",559967.60652099,9582095.53,309.182277526792,10671.306467849
"131",559977.60652099,9582095.53,309.182277526792,10671.306467849
"132",559987.60652099,9582095.53,309.182277526792,10671.306467849
"133",559997.60652099,9582095.53,309.182277526792,10671.306467849
"134",560007.60652099,9582095.53,309.182277526792,10671.306467849
"135",560017.60652099,9582095.53,309.182277526792,10671.306467849
"136",560027.60652099,9582095.53,309.182277526792,10671.306467849
"137",560037.60652099,9582095.53,309.182277526792,10671.306467849
"138",560047.60652099,9582095.53,309.182277526792,10671.306467849
"139",560057.60652099,9582095.53,309.182277526792,10671.306467849
"140",560067.60652099,9582095.53,309.182277526792,10671.306467849
"141",560077.60652099,9582095.53,309.182277526792,10671.306467849
"142",560087.60652099,9582095.53,309.182277526792,10671.306467849
"143",560097.60652099,9582095.53,309.182277526792,10671.306467849
"144",560107.60652099,9582095.53,309.182277526792,10671.306467849
"145",560117.60652099,9582095.53,309.182277526792,10671.306467849
"146",560127.60652099,9582095.53,309.182277526792,10671.306467849
"147",560137.60652099,9582095.53,309.182277526792,10671.306467849
"148",560147.60652099,9582095.53,309.182277526792,10671.306467849
"149",560157.60652099,9582095.53,309.182277526792,10671.306467849
"150",560167.60652099,9582095.53,309.182277526792,10671.306467849
"151",560177.60652099,9582095.53,309.182277526792,10671.306467849
"152",560187.60652099,9582095.53,309.182277526792,10671.306467849
"153",560197.60652099,9582095.53,309.182277526792,10671.306467849
"154",560207.60652099,9582095.53,309.182277526792,10671.306467849
"155",560217.60652099,9582095.53,309.182277526792,10671.306467849
"156",560227.60652099,9582095.53,309.182277526792,10671.306467849
"157",560237.60652099,9582095.53,309.182277526792,10671.306467849
"158",560247.60652099,9582095.53,309.182277526792,10671.306467849
"159",560257.60652099,9582095.53,309.182277526792,10671.306467849
"160",560267.60652099,9582095.53,309.182277526792,10671.306467849
"161",560277.60652099,9582095.53,309.182277526792,10671.306467849
"162",560287.60652099,9582095.53,309.182277526792,10671.306467849
"163",560297.60652099,9582095.53,309.182277526792,10671.306467849
"164",560307.60652099,9582095.53,309.182277526792,10671.306467849
"165",560317.60652099,9582095.53,309.182277526792,10671.306467849
"166",560327.60652099,9582095.53,309.182277526792,10671.306467849
"167",560337.60652099,9582095.53,309.182277526792,10671.306467849
"168",560347.60652099,9582095.53,309.182277526792,10671.306467849
"169",560357.60652099,9582095.53,309.182277526792,10671.306467849
"170",560367.60652099,9582095.53,309.182277526792,10671.306467849
"171",560377.60652099,9582095.53,309.182277526792,10671.306467849
"172",560387.60652099,9582095.53,309.182277526792,10671.306467849
"173",560397.60652099,9582095.53,309.182277526792,10671.306467849
"174",560407.60652099,9582095.53,309.182277526792,10671.306467849
"175",560417.60652099,9582095.53,309.182277526792,10671.306467849
"176",560427.60652099,9582095.53,309.182277526792,10671.306467849
"177",560437.60652099,9582095.53,309.182277526792,10671.306467849
"178",560447.60652099,9582095.53,309.182277526792,10671.306467849
"179",560457.60652099,9582095.53,309.182277526792,10671.306467849
"180",560467.60652099,9582095.53,309.182277526792,10671.306467849
"181",560477.60652099,9582095.53,309.182277526792,10671.306467849
"182",560487.60652099,9582095.53,309.182277526792,10671.306467849
"183",560497.60652099,9582095.53,309.182277526792,10671.306467849
"184",560507.60652099,9582095.53,309.182277526792,10671.306467849
"185",560517.60652099,9582095.53,309.182277526792,10671.306467849
"186",560527.60652099,9582095.53,309.182277526792,10671.306467849
"187",560537.60652099,9582095.53,309.182277526792,10671.306467849
"188",560547.60652099,9582095.53,309.182277526792,10671.306467849
"189",560557.60652099,9582095.53,309.182277526792,10671.306467849
"190",560567.60652099,9582095.53,309.182277526792,10671.306467849
"191",560577.60652099,9582095.53,309.182277526792,10671.306467849
"192",560587.60652099,9582095.53,309.182277526792,10671.306467849
"193",560597.60652099,9582095.53,309.182277526792,10671.306467849
"194",560607.60652099,9582095.53,309.182277526792,10671.306467849
"195",560617.60652099,9582095.53,309.182277526792,10671.306467849
"196",560627.60652099,9582095.53,309.182277526792,10671.306467849
"197",560637.60652099,9582095.53,309.182277526792,10671.306467849
"198",560647.60652099,9582095.53,309.182277526792,10671.306467849
"199",560657.60652099,9582095.53,309.182277526792,10671.306467849
"200",560667.60652099,9582095.53,309.182277526792,10671.306467849
"201",560677.60652099,9582095.53,309.182277526792,10671.306467849
"202",560687.60652099,9582095.53,309.182277526792,10671.306467849
"203",560697.60652099,9582095.53,309.182277526792,10671.306467849
"204",560707.60652099,9582095.53,309.182277526792,10671.306467849
"205",560717.60652099,9582095.53,309.182277526792,10671.306467849
"206",560727.60652099,9582095.53,309.182277526792,10671.306467849
"207",560737.60652099,9582095.53,309.182277526792,10671.306467849
"208",560747.60652099,9582095.53,309.182277526792,10671.306467849
"209",560757.60652099,9582095.53,309.182277526792,10671.306467849
"210",560767.60652099,9582095.53,309.182277526792,10671.306467849
"211",560777.60652099,9582095.53,309.182277526792,10671.306467849
"212",560787.60652099,9582095.53,309.182277526792,10671.306467849
"213",560797.60652099,9582095.53,309.182277526792,10671.306467849
"214",560807.60652099,9582095.53,309.182277526792,10671.306467849
"215",560817.60652099,9582095.53,309.182277526792,10671.306467849
"216",560827.60652099,9582095.53,309.182277526792,10671.306467849
"217",560837.60652099,9582095.53,309.182277526792,10671.306467849
"218",560847.60652099,9582095.53,309.182277526792,10671.306467849
"219",560857.60652099,9582095.53,309.182277526792,10671.306467849
"220",560867.60652099,9582095.53,309.182277526792,10671.306467849
"221",560877.60652099,9582095.53,309.182277526792,10671.306467849
"222",560887.60652099,9582095.53,309.182277526792,10671.306467849
"223",560897.60652099,9582095.53,309.182277526792,10671.306467849
"224",560907.60652099,9582095.53,309.182277526792,10671.306467849
"225",560917.60652099,9582095.53,309.182277526792,10671.306467849
"226",560927.60652099,9582095.53,309.182277526792,10671.306467849
"227",560937.60652099,9582095.53,309.182277526792,10671.306467849
"228",560947.60652099,9582095.53,309.182277526792,10671.306467849
"229",560957.60652099,9582095.53,309.182277526792,10671.306467849
"230",560967.60652099,9582095.53,309.182277526792,10671.306467849
"231",560977.60652099,9582095.53,309.182277526792,10671.306467849
"232",560987.60652099,9582095.53,309.182277526792,10671.306467849
"233",560997.60652099,9582095.53,309.182277526792,10671.306467849
"234",561007.60652099,9582095.53,309.182277526792,10671.306467849
"235",561017.60652099,9582095.53,309.182277526792,10671.306467849
"236",561027.60652099,9582095.53,309.182277526792,10671.306467849
"237",561037.60652099,9582095.53,309.182277526792,10671.306467849
"238",561047.60652099,9582095.53,309.182277526792,10671.306467849
"239",561057.60652099,9582095.53,309.182277526792,10671.306467849
"240",561067.60652099,9582095.53,309.182277526792,10671.306467849
"241",561077.60652099,9582095.53,309.182277526792,10671.306467849
"242",561087.60652099,9582095.53,309.182277526792,10671.306467849
"243",561097.60652099,9582095.53,309.182277526792,10671.306467849
"244",561107.60652099,9582095.53,309.182277526792,10671.306467849
"245",559897.60652099,9582105.53,309.182277526792,10671.306467849
"246",559907.60652099,9582105.53,309.182277526792,10671.306467849
"247",559917.60652099,9582105.53,309.182277526792,10671.306467849
"248",559927.60652099,9582105.53,309.182277526792,10671.306467849
"249",559937.60652099,9582105.53,309.182277526792,10671.306467849
"250",559947.60652099,9582105.53,309.182277526792,10671.306467849
"251",559957.60652099,9582105.53,309.182277526792,10671.306467849
"252",559967.60652099,9582105.53,309.182277526792,10671.306467849
"253",559977.60652099,9582105.53,309.182277526792,10671.306467849
"254",559987.60652099,9582105.53,309.182277526792,10671.306467849
"255",559997.60652099,9582105.53,309.182277526792,10671.306467849
"256",560007.60652099,9582105.53,309.182277526792,10671.306467849
"257",560017.60652099,9582105.53,309.182277526792,10671.306467849
"258",560027.60652099,9582105.53,309.182277526792,10671.306467849
"259",560037.60652099,9582105.53,309.182277526792,10671.306467849
"260",560047.60652099,9582105.53,309.182277526792,10671.306467849
"261",560057.60652099,9582105.53,309.182277526792,10671.306467849
"262",560067.60652099,9582105.53,309.182277526792,10671.306467849
"263",560077.60652099,9582105.53,309.182277526792,10671.306467849
"264",560087.60652099,9582105.53,309.182277526792,10671.306467849
"265",560097.60652099,9582105.53,309.182277526792,10671.306467849
"266",560107.60652099,9582105.53,309.182277526792,10671.306467849
"267",560117.60652099,9582105.53,309.182277526792,10671.306467849
"268",560127.60652099,9582105.53,309.182277526792,10671.306467849
"269",560137.60652099,9582105.53,309.182277526792,10671.306467849
"270",560147.60652099,9582105.53,309.182277526792,10671.306467849
"271",560157.60652099,9582105.53,309.182277526792,10671.306467849
"272",560167.60652099,9582105.53,309.182277526792,10671.306467849
"273",560177.60652099,9582105.53,309.182277526792,10671.306467849
"274",560187.60652099,9582105.53,309.182277526792,10671.306467849
"275",560197.60652099,9582105.53,309.182277526792,10671.306467849
"276",560207.60652099,9582105.53,309.182277526792,10671.306467849
"277",560217.60652099,9582105.53,309.182277526792,10671.306467849
"278",560227.60652099,9582105.53,309.182277526792,10671.306467849
"279",560237.60652099,9582105.53,309.182277526792,10671.306467849
"280",560247.60652099,9582105.53,309.182277526792,10671.306467849
"281",560257.60652099,9582105.53,309.182277526792,10671.306467849
"282",560267.60652099,9582105.53,309.182277526792,10671.306467849
"283",560277.60652099,9582105.53,309.182277526792,10671.306467849
"284",560287.60652099,9582105.53,309.182277526792,10671.306467849
"285",560297.60652099,9582105.53,309.182277526792,10671.306467849
"286",560307.60652099,9582105.53,309.182277526792,10671.306467849
"287",560317.60652099,9582105.53,309.182277526792,10671.306467849
"288",560327.60652099,9582105.53,309.182277526792,10671.306467849
"289",560337.60652099,9582105.53,309.182277526792,10671.306467849
"290",560347.60652099,9582105.53,309.182277526792,10671.306467849
"291",560357.60652099,9582105.53,309.182277526792,10671.306467849
"292",560367.60652099,9582105.53,309.182277526792,10671.306467849
"293",560377.60652099,9582105.53,309.182277526792,10671.306467849
"294",560387.60652099,9582105.53,309.182277526792,10671.306467849
"295",560397.60652099,9582105.53,309.182277526792,10671.306467849
"296",560407.60652099,9582105.53,309.182277526792,10671.306467849
"297",560417.60652099,9582105.53,309.182277526792,10671.306467849
"298",560427.60652099,9582105.53,309.182277526792,10671.306467849
