CoordX_SM,CoordY_SM,Classe
560057.6065209897,9582845.53,2.0
560057.6065209897,9582855.53,1.0
560057.6065209897,9582865.53,1.0
560057.6065209897,9582875.53,1.0
560057.6065209897,9582885.53,1.0
560057.6065209897,9582895.53,1.0
560057.6065209897,9582905.53,1.0
560057.6065209897,9582915.53,2.0
560057.6065209897,9582925.53,2.0
560057.6065209897,9582935.53,2.0
560057.6065209897,9582945.53,2.0
560057.6065209897,9582955.53,2.0
560057.6065209897,9582965.53,2.0
560057.6065209897,9582975.53,2.0
560057.6065209897,9582985.53,2.0
560057.6065209897,9582995.53,2.0
560057.6065209897,9583005.53,2.0
560067.6065209897,9582775.53,3.0
560067.6065209897,9582785.53,3.0
560067.6065209897,9582795.53,3.0
560067.6065209897,9582805.53,3.0
560067.6065209897,9582815.53,3.0
560067.6065209897,9582825.53,3.0
560067.6065209897,9582835.53,2.0
560067.6065209897,9582845.53,2.0
560067.6065209897,9582855.53,1.0
560067.6065209897,9582865.53,1.0
560067.6065209897,9582875.53,1.0
560067.6065209897,9582885.53,1.0
560067.6065209897,9582895.53,1.0
560067.6065209897,9582905.53,1.0
560067.6065209897,9582915.53,2.0
560067.6065209897,9582925.53,2.0
560067.6065209897,9582935.53,3.0
560067.6065209897,9582945.53,3.0
560067.6065209897,9582955.53,2.0
560067.6065209897,9582965.53,2.0
560067.6065209897,9582975.53,2.0
560067.6065209897,9582985.53,2.0
560067.6065209897,9582995.53,2.0
560077.6065209897,9582765.53,2.0
560077.6065209897,9582775.53,3.0
560077.6065209897,9582785.53,3.0
560077.6065209897,9582795.53,3.0
560077.6065209897,9582805.53,3.0
560077.6065209897,9582815.53,3.0
560077.6065209897,9582825.53,2.0
560077.6065209897,9582835.53,2.0
560077.6065209897,9582845.53,1.0
560077.6065209897,9582855.53,1.0
560077.6065209897,9582865.53,1.0
560077.6065209897,9582875.53,1.0
560077.6065209897,9582885.53,1.0
560077.6065209897,9582895.53,1.0
560077.6065209897,9582905.53,1.0
560077.6065209897,9582915.53,2.0
560077.6065209897,9582925.53,2.0
560077.6065209897,9582935.53,2.0
560077.6065209897,9582945.53,3.0
560077.6065209897,9582955.53,2.0
560077.6065209897,9582965.53,2.0
560077.6065209897,9582975.53,2.0
560077.6065209897,9582985.53,2.0
560077.6065209897,9582995.53,2.0
560087.6065209897,9582745.53,1.0
560087.6065209897,9582755.53,2.0
560087.6065209897,9582765.53,2.0
560087.6065209897,9582775.53,2.0
560087.6065209897,9582785.53,3.0
560087.6065209897,9582795.53,3.0
560087.6065209897,9582805.53,3.0
560087.6065209897,9582815.53,3.0
560087.6065209897,9582825.53,2.0
560087.6065209897,9582835.53,2.0
560087.6065209897,9582845.53,1.0
560087.6065209897,9582855.53,1.0
560087.6065209897,9582865.53,1.0
560087.6065209897,9582875.53,1.0
560087.6065209897,9582885.53,1.0
560087.6065209897,9582895.53,1.0
560087.6065209897,9582905.53,1.0
560087.6065209897,9582915.53,2.0
560087.6065209897,9582925.53,2.0
560087.6065209897,9582935.53,2.0
560087.6065209897,9582945.53,2.0
560087.6065209897,9582955.53,2.0
560087.6065209897,9582965.53,2.0
560087.6065209897,9582975.53,2.0
560087.6065209897,9582985.53,2.0
560097.6065209897,9582715.53,1.0
560097.6065209897,9582725.53,1.0
560097.6065209897,9582735.53,1.0
560097.6065209897,9582745.53,1.0
560097.6065209897,9582755.53,1.0
560097.6065209897,9582765.53,2.0
560097.6065209897,9582775.53,2.0
560097.6065209897,9582785.53,2.0
560097.6065209897,9582795.53,2.0
560097.6065209897,9582805.53,2.0
560097.6065209897,9582815.53,2.0
560097.6065209897,9582825.53,2.0
560097.6065209897,9582835.53,2.0
560097.6065209897,9582845.53,2.0
560097.6065209897,9582855.53,1.0
560097.6065209897,9582865.53,1.0
560097.6065209897,9582875.53,1.0
560097.6065209897,9582885.53,1.0
560097.6065209897,9582895.53,1.0
560097.6065209897,9582905.53,1.0
560097.6065209897,9582915.53,2.0
560097.6065209897,9582925.53,2.0
560097.6065209897,9582935.53,2.0
560097.6065209897,9582945.53,2.0
560097.6065209897,9582955.53,2.0
560097.6065209897,9582965.53,2.0
560097.6065209897,9582975.53,2.0
560097.6065209897,9582985.53,2.0
560107.6065209897,9582685.53,1.0
560107.6065209897,9582695.53,1.0
560107.6065209897,9582705.53,1.0
560107.6065209897,9582715.53,1.0
560107.6065209897,9582725.53,1.0
560107.6065209897,9582735.53,1.0
560107.6065209897,9582745.53,1.0
560107.6065209897,9582755.53,1.0
560107.6065209897,9582765.53,1.0
560107.6065209897,9582775.53,2.0
560107.6065209897,9582785.53,2.0
560107.6065209897,9582795.53,2.0
560107.6065209897,9582805.53,2.0
560107.6065209897,9582815.53,2.0
560107.6065209897,9582825.53,2.0
560107.6065209897,9582835.53,2.0
560107.6065209897,9582845.53,2.0
560107.6065209897,9582855.53,2.0
560107.6065209897,9582865.53,1.0
560107.6065209897,9582875.53,1.0
560107.6065209897,9582885.53,1.0
560107.6065209897,9582895.53,1.0
560107.6065209897,9582905.53,1.0
560107.6065209897,9582915.53,2.0
560107.6065209897,9582925.53,2.0
560107.6065209897,9582935.53,2.0
560107.6065209897,9582945.53,2.0
560107.6065209897,9582955.53,2.0
560107.6065209897,9582965.53,2.0
560107.6065209897,9582975.53,2.0
560117.6065209897,9582655.53,2.0
560117.6065209897,9582665.53,1.0
560117.6065209897,9582675.53,1.0
560117.6065209897,9582685.53,1.0
560117.6065209897,9582695.53,1.0
560117.6065209897,9582705.53,1.0
560117.6065209897,9582715.53,1.0
560117.6065209897,9582725.53,1.0
560117.6065209897,9582735.53,1.0
560117.6065209897,9582745.53,1.0
560117.6065209897,9582755.53,1.0
560117.6065209897,9582765.53,1.0
560117.6065209897,9582775.53,1.0
560117.6065209897,9582785.53,2.0
560117.6065209897,9582795.53,2.0
560117.6065209897,9582805.53,2.0
560117.6065209897,9582815.53,2.0
560117.6065209897,9582825.53,2.0
560117.6065209897,9582835.53,2.0
560117.6065209897,9582845.53,2.0
560117.6065209897,9582855.53,2.0
560117.6065209897,9582865.53,1.0
560117.6065209897,9582875.53,1.0
560117.6065209897,9582885.53,1.0
560117.6065209897,9582895.53,1.0
560117.6065209897,9582905.53,1.0
560117.6065209897,9582915.53,1.0
560117.6065209897,9582925.53,1.0
560117.6065209897,9582935.53,2.0
560117.6065209897,9582945.53,2.0
560117.6065209897,9582955.53,2.0
560117.6065209897,9582965.53,2.0
560127.6065209897,9582625.53,1.0
560127.6065209897,9582635.53,1.0
560127.6065209897,9582645.53,1.0
560127.6065209897,9582655.53,1.0
560127.6065209897,9582665.53,1.0
560127.6065209897,9582675.53,1.0
560127.6065209897,9582685.53,1.0
560127.6065209897,9582695.53,1.0
560127.6065209897,9582705.53,1.0
560127.6065209897,9582715.53,1.0
560127.6065209897,9582725.53,1.0
560127.6065209897,9582735.53,1.0
560127.6065209897,9582745.53,1.0
560127.6065209897,9582755.53,1.0
560127.6065209897,9582765.53,1.0
560127.6065209897,9582775.53,1.0
560127.6065209897,9582785.53,1.0
560127.6065209897,9582795.53,2.0
560127.6065209897,9582805.53,2.0
560127.6065209897,9582815.53,2.0
560127.6065209897,9582825.53,2.0
560127.6065209897,9582835.53,2.0
560127.6065209897,9582845.53,2.0
560127.6065209897,9582855.53,2.0
560127.6065209897,9582865.53,1.0
560127.6065209897,9582875.53,1.0
560127.6065209897,9582885.53,1.0
560127.6065209897,9582895.53,1.0
560127.6065209897,9582905.53,1.0
560127.6065209897,9582915.53,1.0
560127.6065209897,9582925.53,1.0
560127.6065209897,9582935.53,1.0
560127.6065209897,9582945.53,1.0
560127.6065209897,9582955.53,2.0
560127.6065209897,9582965.53,2.0
560137.6065209897,9582595.53,1.0
560137.6065209897,9582605.53,1.0
560137.6065209897,9582615.53,1.0
560137.6065209897,9582625.53,1.0
560137.6065209897,9582635.53,1.0
560137.6065209897,9582645.53,1.0
560137.6065209897,9582655.53,1.0
560137.6065209897,9582665.53,1.0
560137.6065209897,9582675.53,1.0
560137.6065209897,9582685.53,1.0
560137.6065209897,9582695.53,1.0
560137.6065209897,9582705.53,1.0
560137.6065209897,9582715.53,1.0
560137.6065209897,9582725.53,1.0
560137.6065209897,9582735.53,1.0
560137.6065209897,9582745.53,1.0
560137.6065209897,9582755.53,1.0
560137.6065209897,9582765.53,1.0
560137.6065209897,9582775.53,1.0
560137.6065209897,9582785.53,1.0
560137.6065209897,9582795.53,2.0
560137.6065209897,9582805.53,2.0
560137.6065209897,9582815.53,2.0
560137.6065209897,9582825.53,2.0
560137.6065209897,9582835.53,2.0
560137.6065209897,9582845.53,2.0
560137.6065209897,9582855.53,2.0
560137.6065209897,9582865.53,1.0
560137.6065209897,9582875.53,1.0
560137.6065209897,9582885.53,1.0
560137.6065209897,9582895.53,1.0
560137.6065209897,9582905.53,1.0
560137.6065209897,9582915.53,1.0
560137.6065209897,9582925.53,1.0
560137.6065209897,9582935.53,1.0
560137.6065209897,9582945.53,1.0
560137.6065209897,9582955.53,2.0
560147.6065209897,9582565.53,1.0
560147.6065209897,9582575.53,1.0
560147.6065209897,9582585.53,1.0
560147.6065209897,9582595.53,1.0
560147.6065209897,9582605.53,1.0
560147.6065209897,9582615.53,1.0
560147.6065209897,9582625.53,1.0
560147.6065209897,9582635.53,1.0
560147.6065209897,9582645.53,1.0
560147.6065209897,9582655.53,1.0
560147.6065209897,9582665.53,1.0
560147.6065209897,9582675.53,1.0
560147.6065209897,9582685.53,1.0
560147.6065209897,9582695.53,1.0
560147.6065209897,9582705.53,1.0
560147.6065209897,9582715.53,1.0
560147.6065209897,9582725.53,1.0
560147.6065209897,9582735.53,1.0
560147.6065209897,9582745.53,1.0
560147.6065209897,9582755.53,1.0
560147.6065209897,9582765.53,1.0
560147.6065209897,9582775.53,1.0
560147.6065209897,9582785.53,1.0
560147.6065209897,9582795.53,1.0
560147.6065209897,9582805.53,2.0
560147.6065209897,9582815.53,2.0
560147.6065209897,9582825.53,2.0
560147.6065209897,9582835.53,2.0
560147.6065209897,9582845.53,2.0
560147.6065209897,9582855.53,1.0
560147.6065209897,9582865.53,1.0
560147.6065209897,9582875.53,1.0
560147.6065209897,9582885.53,1.0
560147.6065209897,9582895.53,1.0
560147.6065209897,9582905.53,1.0
560147.6065209897,9582915.53,1.0
560147.6065209897,9582925.53,1.0
560147.6065209897,9582935.53,1.0
560147.6065209897,9582945.53,1.0
560147.6065209897,9582955.53,1.0
560157.6065209897,9582545.53,1.0
560157.6065209897,9582555.53,1.0
560157.6065209897,9582565.53,1.0
560157.6065209897,9582575.53,1.0
560157.6065209897,9582585.53,1.0
560157.6065209897,9582595.53,1.0
560157.6065209897,9582605.53,1.0
560157.6065209897,9582615.53,1.0
560157.6065209897,9582625.53,1.0
560157.6065209897,9582635.53,1.0
560157.6065209897,9582645.53,1.0
560157.6065209897,9582655.53,1.0
560157.6065209897,9582665.53,1.0
560157.6065209897,9582675.53,1.0
560157.6065209897,9582685.53,1.0
560157.6065209897,9582695.53,1.0
560157.6065209897,9582705.53,1.0
560157.6065209897,9582715.53,1.0
560157.6065209897,9582725.53,1.0
560157.6065209897,9582735.53,1.0
560157.6065209897,9582745.53,1.0
560157.6065209897,9582755.53,1.0
560157.6065209897,9582765.53,1.0
560157.6065209897,9582775.53,1.0
560157.6065209897,9582785.53,1.0
560157.6065209897,9582795.53,1.0
560157.6065209897,9582805.53,2.0
560157.6065209897,9582815.53,2.0
560157.6065209897,9582825.53,2.0
560157.6065209897,9582835.53,2.0
560157.6065209897,9582845.53,2.0
560157.6065209897,9582855.53,1.0
560157.6065209897,9582865.53,1.0
560157.6065209897,9582875.53,1.0
560157.6065209897,9582885.53,1.0
560157.6065209897,9582895.53,1.0
560157.6065209897,9582905.53,1.0
560157.6065209897,9582915.53,1.0
560157.6065209897,9582925.53,1.0
560157.6065209897,9582935.53,1.0
560157.6065209897,9582945.53,1.0
560167.6065209897,9582535.53,1.0
560167.6065209897,9582545.53,1.0
560167.6065209897,9582555.53,1.0
560167.6065209897,9582565.53,1.0
560167.6065209897,9582575.53,1.0
560167.6065209897,9582585.53,1.0
560167.6065209897,9582595.53,1.0
560167.6065209897,9582605.53,1.0
560167.6065209897,9582615.53,1.0
560167.6065209897,9582625.53,1.0
560167.6065209897,9582635.53,1.0
560167.6065209897,9582645.53,1.0
560167.6065209897,9582655.53,1.0
560167.6065209897,9582665.53,2.0
560167.6065209897,9582675.53,2.0
560167.6065209897,9582685.53,2.0
560167.6065209897,9582695.53,1.0
560167.6065209897,9582705.53,1.0
560167.6065209897,9582715.53,1.0
560167.6065209897,9582725.53,1.0
560167.6065209897,9582735.53,1.0
560167.6065209897,9582745.53,1.0
560167.6065209897,9582755.53,1.0
560167.6065209897,9582765.53,1.0
560167.6065209897,9582775.53,1.0
560167.6065209897,9582785.53,1.0
560167.6065209897,9582795.53,1.0
560167.6065209897,9582805.53,1.0
560167.6065209897,9582815.53,2.0
560167.6065209897,9582825.53,2.0
560167.6065209897,9582835.53,2.0
560167.6065209897,9582845.53,2.0
560167.6065209897,9582855.53,1.0
560167.6065209897,9582865.53,1.0
560167.6065209897,9582875.53,1.0
560167.6065209897,9582885.53,1.0
560167.6065209897,9582895.53,1.0
560167.6065209897,9582905.53,1.0
560167.6065209897,9582915.53,1.0
560167.6065209897,9582925.53,1.0
560167.6065209897,9582935.53,1.0
560167.6065209897,9582945.53,1.0
560177.6065209897,9582535.53,1.0
560177.6065209897,9582545.53,1.0
560177.6065209897,9582555.53,1.0
560177.6065209897,9582565.53,1.0
560177.6065209897,9582575.53,1.0
560177.6065209897,9582585.53,1.0
560177.6065209897,9582595.53,1.0
560177.6065209897,9582605.53,1.0
560177.6065209897,9582615.53,1.0
560177.6065209897,9582625.53,1.0
560177.6065209897,9582635.53,1.0
560177.6065209897,9582645.53,1.0
560177.6065209897,9582655.53,1.0
560177.6065209897,9582665.53,2.0
560177.6065209897,9582675.53,2.0
560177.6065209897,9582685.53,2.0
560177.6065209897,9582695.53,2.0
560177.6065209897,9582705.53,2.0
560177.6065209897,9582715.53,2.0
560177.6065209897,9582725.53,2.0
560177.6065209897,9582735.53,2.0
560177.6065209897,9582745.53,2.0
560177.6065209897,9582755.53,2.0
560177.6065209897,9582765.53,2.0
560177.6065209897,9582775.53,2.0
560177.6065209897,9582785.53,1.0
560177.6065209897,9582795.53,1.0
560177.6065209897,9582805.53,1.0
560177.6065209897,9582815.53,2.0
560177.6065209897,9582825.53,2.0
560177.6065209897,9582835.53,2.0
560177.6065209897,9582845.53,2.0
560177.6065209897,9582855.53,2.0
560177.6065209897,9582865.53,1.0
560177.6065209897,9582875.53,1.0
560177.6065209897,9582885.53,1.0
560177.6065209897,9582895.53,1.0
560177.6065209897,9582905.53,1.0
560177.6065209897,9582915.53,1.0
560177.6065209897,9582925.53,1.0
560177.6065209897,9582935.53,1.0
560187.6065209897,9582525.53,1.0
560187.6065209897,9582535.53,1.0
560187.6065209897,9582545.53,1.0
560187.6065209897,9582555.53,1.0
560187.6065209897,9582565.53,1.0
560187.6065209897,9582575.53,1.0
560187.6065209897,9582585.53,1.0
560187.6065209897,9582595.53,1.0
560187.6065209897,9582605.53,1.0
560187.6065209897,9582615.53,1.0
560187.6065209897,9582625.53,1.0
560187.6065209897,9582635.53,1.0
560187.6065209897,9582645.53,1.0
560187.6065209897,9582655.53,1.0
560187.6065209897,9582665.53,1.0
560187.6065209897,9582675.53,2.0
560187.6065209897,9582685.53,2.0
560187.6065209897,9582695.53,2.0
560187.6065209897,9582705.53,2.0
560187.6065209897,9582715.53,2.0
560187.6065209897,9582725.53,2.0
560187.6065209897,9582735.53,2.0
560187.6065209897,9582745.53,2.0
560187.6065209897,9582755.53,2.0
560187.6065209897,9582765.53,2.0
560187.6065209897,9582775.53,2.0
560187.6065209897,9582785.53,2.0
560187.6065209897,9582795.53,2.0
560187.6065209897,9582805.53,2.0
