CoordX_SM,CoordY_SM,Cls1,Cls2,Cls3
559897.6065209897,9582805.53,4.807685357826942e-07,0.9999995006513653,1.8580098823544095e-08
559897.6065209897,9582945.53,2.756922251201129e-06,0.9999970377588104,2.0531893837689626e-07
559907.6065209897,9582805.53,6.263732564861564e-07,0.9999993472119804,2.641476318461347e-08
559907.6065209897,9582815.53,6.149249648698467e-07,0.9999993593036055,2.5771429591613505e-08
559907.6065209897,9582825.53,5.757951313302066e-07,0.9999994005980108,2.360685779745072e-08
559907.6065209897,9582945.53,2.756922251201129e-06,0.9999970377588104,2.0531893837689626e-07
559907.6065209897,9582955.53,2.756922251201129e-06,0.9999970377588104,2.0531893837689626e-07
559907.6065209897,9582965.53,2.756922251201129e-06,0.9999970377588104,2.0531893837689626e-07
559917.6065209897,9582805.53,9.183455201582231e-07,0.9999990374065386,4.424794121342076e-08
559917.6065209897,9582815.53,8.926041564483074e-07,0.9999990648246487,4.2571194661735365e-08
559917.6065209897,9582825.53,8.055380656138024e-07,0.9999991574171264,3.7044807998499193e-08
559917.6065209897,9582835.53,6.788764650740253e-07,0.9999992917015826,2.9421952130816915e-08
559917.6065209897,9582845.53,4.836290518570917e-07,0.9999994976444694,1.87264787072017e-08
559917.6065209897,9582945.53,2.756922251201129e-06,0.9999970377588104,2.0531893837689626e-07
559917.6065209897,9582955.53,2.756922251201042e-06,0.9999970377588104,2.053189383768869e-07
559917.6065209897,9582965.53,2.756922251201129e-06,0.9999970377588104,2.0531893837689626e-07
559917.6065209897,9582975.53,2.756922251201042e-06,0.9999970377588104,2.053189383768869e-07
559927.6065209897,9582805.53,1.452158190871995e-06,0.9999984647885497,8.305325948012825e-08
559927.6065209897,9582815.53,1.3956387183206747e-06,0.9999985257598865,7.860139521047462e-08
559927.6065209897,9582825.53,1.0164974486431385e-06,0.9999989326875486,5.081500283668727e-08
559927.6065209897,9582835.53,4.798586042782748e-07,0.9999995016077944,1.8533601483816634e-08
559927.6065209897,9582845.53,1.708687295999e-07,0.9999998242741761,4.8570944274688024e-09
559927.6065209897,9582855.53,5.838404620235125e-08,0.9999999403485365,1.2674173562948481e-09
559927.6065209897,9582865.53,3.509833225707206e-07,0.9999996367302298,1.2286447547477312e-08
559927.6065209897,9582945.53,2.756922251200963e-06,0.9999970377588104,2.0531893837687818e-07
559927.6065209897,9582955.53,2.756922251201129e-06,0.9999970377588104,2.0531893837689626e-07
559927.6065209897,9582965.53,2.756922251201129e-06,0.9999970377588104,2.0531893837689626e-07
559927.6065209897,9582975.53,2.756922251201129e-06,0.9999970377588104,2.0531893837689626e-07
559927.6065209897,9582985.53,2.756922251201129e-06,0.9999970377588104,2.0531893837689626e-07
559937.6065209897,9582795.53,2.163637737374492e-06,0.999997691046445,1.4531581766840717e-07
559937.6065209897,9582805.53,2.385861474254942e-06,0.9999974471653807,1.6697314484372308e-07
559937.6065209897,9582815.53,1.7639652988288777e-06,0.9999981270749136,1.0895978754720815e-07
559937.6065209897,9582825.53,6.544266809892153e-07,0.999999317563253,2.80100660511191e-08
559937.6065209897,9582835.53,1.1879136344783757e-07,0.9999998781421784,3.066458213729026e-09
559937.6065209897,9582845.53,9.8666477806732e-09,0.9999999899838506,1.4950151147351355e-10
559937.6065209897,9582855.53,4.150321543087327e-10,0.9999999995809548,4.013108573239741e-12
559937.6065209897,9582865.53,4.324731056028577e-09,0.9999999956181418,5.7127144360162833e-11
559937.6065209897,9582875.53,4.3154896405862965e-09,0.9999999956275243,5.698598223750629e-11
559937.6065209897,9582885.53,1.6058169175353282e-08,0.9999999836758182,2.66012587795515e-10
559937.6065209897,9582935.53,2.756922251201042e-06,0.9999970377588104,2.053189383768869e-07
559937.6065209897,9582945.53,2.756922251201042e-06,0.9999970377588104,2.053189383768869e-07
