CoordX_SM,CoordY_SM,z
559897.6065209897,9582805.53,323.7534307643243
559897.6065209897,9582945.53,326.4913637028998
559907.6065209897,9582805.53,324.11528089660305
559907.6065209897,9582815.53,324.0895053703258
559907.6065209897,9582825.53,323.99830725504046
559907.6065209897,9582945.53,326.4913637028998
559907.6065209897,9582955.53,326.4913637028998
559907.6065209897,9582965.53,326.4913637028998
559917.6065209897,9582805.53,324.66928771501523
559917.6065209897,9582815.53,324.6268182350026
559917.6065209897,9582825.53,324.4752809283234
559917.6065209897,9582835.53,324.2287381070926
559917.6065209897,9582845.53,323.7613632269387
559917.6065209897,9582945.53,326.4913637028998
559917.6065209897,9582955.53,326.4913637028997
559917.6065209897,9582965.53,326.4913637028998
559917.6065209897,9582975.53,326.4913637028997
559927.6065209897,9582805.53,325.3845695358564
559927.6065209897,9582815.53,325.3202299606115
559927.6065209897,9582825.53,324.82274736271575
559927.6065209897,9582835.53,323.7508992657803
559927.6065209897,9582845.53,322.48628056120947
559927.6065209897,9582855.53,321.38276805577607
559927.6065209897,9582865.53,323.3441287289151
559927.6065209897,9582945.53,326.49136370289966
559927.6065209897,9582955.53,326.4913637028998
559927.6065209897,9582965.53,326.4913637028998
559927.6065209897,9582975.53,326.4913637028998
559927.6065209897,9582985.53,326.4913637028998
559937.6065209897,9582795.53,326.0574555838542
559937.6065209897,9582805.53,326.23016013962814
559937.6065209897,9582815.53,325.7066510341864
559937.6065209897,9582825.53,324.1768379123074
559937.6065209897,9582835.53,322.09078364899545
559937.6065209897,9582845.53,319.9247490671524
559937.6065209897,9582855.53,318.12682142775526
559937.6065209897,9582865.53,319.37264742727325
559937.6065209897,9582875.53,319.37130291190726
559937.6065209897,9582885.53,320.28487605464045
559937.6065209897,9582935.53,326.4913637028997
559937.6065209897,9582945.53,326.4913637028997
559937.6065209897,9582955.53,326.4913637028998
559937.6065209897,9582965.53,326.49136370289966
559937.6065209897,9582975.53,326.4913637028998
559937.6065209897,9582985.53,306.48391020886686
559937.6065209897,9582995.53,306.48391020886675
559937.6065209897,9583005.53,306.48391020886686
559947.6065209897,9582795.53,326.9095245371135
559947.6065209897,9582805.53,326.8813964977576
559947.6065209897,9582815.53,325.36940491624387
559947.6065209897,9582825.53,322.7216516289991
559947.6065209897,9582835.53,319.50906505017934
559947.6065209897,9582845.53,316.31343271921384
559947.6065209897,9582855.53,315.4554826093328
559947.6065209897,9582865.53,314.0901764347334
559947.6065209897,9582875.53,314.1082255613995
559947.6065209897,9582885.53,315.4782472169518
559947.6065209897,9582895.53,317.82192705453656
559947.6065209897,9582905.53,320.5677221194037
559947.6065209897,9582935.53,325.9657008113372
559947.6065209897,9582945.53,325.12763999288967
559947.6065209897,9582955.53,324.30871178870586
559947.6065209897,9582965.53,324.01345139093326
559947.6065209897,9582975.53,304.595217656164
559947.6065209897,9582985.53,305.35829816900866
559947.6065209897,9582995.53,306.1726654861576
559947.6065209897,9583005.53,306.48391020886686
559947.6065209897,9583015.53,306.48391020886686
559957.6065209897,9582795.53,327.69617972700166
559957.6065209897,9582805.53,327.10927294882333
559957.6065209897,9582815.53,324.59112598409706
559957.6065209897,9582825.53,320.7343828060174
559957.6065209897,9582835.53,316.30237842439715
559957.6065209897,9582845.53,311.9398384632002
559957.6065209897,9582855.53,309.653835095018
559957.6065209897,9582865.53,307.7211263592801
559957.6065209897,9582875.53,307.80303153991304
559957.6065209897,9582885.53,309.82119076944895
559957.6065209897,9582895.53,313.1658764198376
559957.6065209897,9582905.53,317.0151077281842
559957.6065209897,9582915.53,320.5352678038316
559957.6065209897,9582925.53,321.92940651651
559957.6065209897,9582935.53,321.32080706790055
559957.6065209897,9582945.53,319.2836148780498
559957.6065209897,9582955.53,317.33680200594404
559957.6065209897,9582965.53,316.67781954533325
559957.6065209897,9582975.53,298.4471256138803
559957.6065209897,9582985.53,300.2833187738398
559957.6065209897,9582995.53,302.7165749552631
559957.6065209897,9583005.53,305.0241961139333
559957.6065209897,9583015.53,306.38568050352785
559957.6065209897,9583025.53,306.48391020886686
559967.6065209897,9582795.53,328.7605923829852
559967.6065209897,9582805.53,327.7861371483334
559967.6065209897,9582815.53,323.69107606871046
559967.6065209897,9582825.53,318.45864386341367
559967.6065209897,9582835.53,312.8475753558215
559967.6065209897,9582845.53,308.010922738087
559967.6065209897,9582855.53,303.273296236294
559967.6065209897,9582865.53,300.5043232129282
559967.6065209897,9582875.53,300.7334245438661
559967.6065209897,9582885.53,303.7565721887128
559967.6065209897,9582895.53,308.3909295527653
559967.6065209897,9582905.53,313.1921876512442
559967.6065209897,9582915.53,315.446984189816
559967.6065209897,9582925.53,315.0894349403419
559967.6065209897,9582935.53,312.82681348961273
559967.6065209897,9582945.53,309.46445841789546
559967.6065209897,9582955.53,306.2459346922136
559967.6065209897,9582965.53,287.4262872785976
559967.6065209897,9582975.53,288.6378742090739
559967.6065209897,9582985.53,291.7519986072324
559967.6065209897,9582995.53,296.04605616486845
559967.6065209897,9583005.53,300.5704882597688
559967.6065209897,9583015.53,304.3240907193034
559967.6065209897,9583025.53,306.348189065806
559967.6065209897,9583035.53,306.48391020886686
559967.6065209897,9583045.53,306.4839102088669
559977.6065209897,9582795.53,334.91337794339154
559977.6065209897,9582805.53,332.6698101181766
559977.6065209897,9582815.53,326.8275896135107
559977.6065209897,9582825.53,318.80462342753515
559977.6065209897,9582835.53,310.3001807148419
559977.6065209897,9582845.53,303.4119570121354
559977.6065209897,9582855.53,296.9888393289037
559977.6065209897,9582865.53,292.7272810637718
559977.6065209897,9582875.53,293.3037972843536
559977.6065209897,9582885.53,298.03990277119453
559977.6065209897,9582895.53,304.2282026986469
559977.6065209897,9582905.53,308.1691535630249
559977.6065209897,9582915.53,308.58360084591925
559977.6065209897,9582925.53,306.1363559929171
559977.6065209897,9582935.53,301.73113737368163
559977.6065209897,9582945.53,296.47046070597446
559977.6065209897,9582955.53,275.4701169106121
559977.6065209897,9582965.53,273.9732245537234
559977.6065209897,9582975.53,275.8372933692891
