;DADO;VALOR;VU;AREALOTE;TESTADA;PROFUND;PAVIM;TOPOGRAF;DATA;TEMPO;IA;N_PAV;RENDA;CENTENA;ANOS;E;N;BAI_LOC;ENDERECO;COMPL;FONTE;TELEFONE;ZF_NOVA;ET;NT;ET2;NT2;ETNT;D_AV
184;729;180000;400;450;15;30;2;1;01-ago-yyyy;2,012;1;2;2650,94;1084,12;2;659799,49;6825179,54;Comerciário;Rua_Otávio_Dal_Pont_esq_com;NA;Proprietario;99113199;ZR1 -2;0,8;0,44;0,64;0,19;0,35;1,08
185;730;170000;377,78;450;15;30;2;1;01-ago-yyyy;2,012;1;2;2791,34;1004,96;2;659808,63;6825258,26;Comerciário;Rua_Otávio_Dal_Pont_esq_com;NA;Portifólio;34427890;ZR1 -2;0,8;0,45;0,64;0,2;0,36;1
186;731;165000;589,29;280;14;20;1;3;01-ago-yyyy;2,012;1;2;3751,5;484,4;2;660069,27;6825794,67;Comerciário;Rua_Pedro_Rodrigues_Lopes;Esq_com_Agricola_Indio_g;Paulão;99941636;ZR1 -2;0,84;0,56;0,71;0,31;0,47;0,48
187;732;225000;500;450;15;30;2;3;01-ago-yyyy;2,012;1;2;3340,47;584,31;2;659740,24;6825689,47;Comerciário;Rua_Riachuelo;NA;Paulão;99941636;ZR1 -2;0,79;0,54;0,62;0,29;0,42;0,58
188;733;150000;333,33;450;15;30;2;1;01-ago-yyyy;2,012;1;2;2827,97;974,37;2;659847,79;6825287,07;Comerciário;Rua_Vereador_Cyro_bacha;NA;Proprietario;99796587;ZR1 -2;0,81;0,46;0,65;0,21;0,37;0,97
189;734;180000;400;450;15;30;2;1;01-ago-yyyy;2,012;1;2;2904,97;933,7;2;659847,79;6825327,76;Comerciário;Rua_Vereador_Cyro_bacha;NA;Proprietario;99000903;ZR1 -2;0,81;0,47;0,65;0,22;0,38;0,93
190;735;900000;900;1000;20;50;1;2;01-jun-yyyy;2,012;3;4;3171,06;999,75;2;659406,83;6825350,79;Comerciário;Desembargador_pedro_silva_e;1000m2_com_2_casas_3_e_4;Duda_Im.;34687777;ZM2-4;0,73;0,47;0,54;0,22;0,35;1
191;736;120000;224,3;535;13;41,15;1;3;01-jun-yyyy;2,012;3;4;2881,47;1146,56;2;659393,1;6825199,67;Comerciário;Rua_Augusta_Dal_Pont;ao_lado_do_Pira;Pillar_Imóveis;34377000;ZM2-4;0,73;0,44;0,54;0,19;0,32;1,15
192;737;160000;344,09;465;15;31;1;3;01-jun-yyyy;2,012;1;2;2719,07;1069,13;2;659648,88;6825212,86;Comerciário;Rua_Augusta_Dal_Pont;Lot_Jd_Dal_Ponto_Lot_1_Q;Duda_Im.;34687777;ZR1 -2;0,77;0,44;0,6;0,2;0,34;1,07
193;738;250000;555,56;450;15;30;1;3;01-jun-yyyy;2,012;1;2;2707,78;1054,95;2;659755,19;6825212,86;Comerciário;Rua_Augusta_Dal_Pont;NA;Fanfa;99645157;ZR1 -2;0,79;0,44;0,63;0,2;0,35;1,05
194;739;250000;555,56;450;15;30;1;2;01-jun-yyyy;2,012;1;2;2707,78;1054,95;2;659755,19;6825212,86;Comerciário;Rua_Augusta_Dal_Pont;NA;Fanfa;99645157;ZR1 -2;0,79;0,44;0,63;0,2;0,35;1,05
195;740;250000;555,56;450;15;30;1;2;01-jun-yyyy;2,012;1;2;2707,78;1054,95;2;659755,19;6825212,86;Comerciário;Rua_Augusta_Dal_Pont;NA;Fanfa;99645157;ZR1 -2;0,79;0,44;0,63;0,2;0,35;1,05
196;741;600000;444,44;1350;45,5;29,67;2;3;01-mai-yyyy;2,012;1;2;2839,83;1034,6;2;659593,26;6825258,5;Comerciário;Rua_Augusta_Dal_Pont;ao_lado_do_Pira;Bemorar;34318900;ZR1 -2;0,77;0,45;0,59;0,2;0,35;1,03
197;742;600000;444,44;1350;45,5;29,67;1;3;01-mai-yyyy;2,012;1;2;2839,83;1034,6;2;659593,26;6825258,5;Comerciário;Rua_Augusta_Dal_Pont;ao_lado_do_Pira;Bemorar;34318900;ZR1 -2;0,77;0,45;0,59;0,2;0,35;1,03
198;743;230000;511,11;450;15;30;2;3;01-mai-yyyy;2,012;1;2;3081,4;630,83;2;659547,13;6825692,37;Comerciário;Rua_João_Milioli;NA;Imovest;99932036;ZR1 -2;0,76;0,54;0,57;0,29;0,41;0,63
199;744;160000;345,2;463,5;15;30,9;2;3;01-jun-yyyy;2,012;1;2;2639,63;1154,55;2;659593,22;6825135,99;Comerciário;Rua_Amauri_Dal_Pont_Lot_4_Q;Prox_ao_Colégio_Joaquim_;Duda_Im.;34687777;ZR1 -2;0,77;0,43;0,59;0,18;0,33;1,15
200;745;110000;244,44;450;15;30;2;2;01-mai-yyyy;2,012;1;2;3568,66;626,13;2;660044,61;6825646,76;Comerciário;Rua_Vidal_de_Negreiros;Morro_Céu;Locativa;34371112;ZR1 -2;0,84;0,53;0,71;0,28;0,45;0,63
201;746;120000;266,67;450;15;30;2;3;01-mar-yyyy;2,012;1;2;2695,95;1052,99;2;659838,07;6825208,71;Comerciário;Rua_Augusta_Dal_Pont;Lot._Maria_Dal_Pont;Proprietario;8806-7403;ZR1 -2;0,81;0,44;0,65;0,2;0,36;1,05
202;747;220000;523,81;420;15;28;2;2;01-jan-yyyy;2,012;1;2;3791,5;582,79;2;659999,58;6825684,39;Comerciário;Rua_Vidal_de_Negreiros;Morro_Céu;Loacativa;34371112;ZR1 -2;0,83;0,54;0,69;0,29;0,45;0,58
203;748;150000;323,62;463,5;15;30,9;2;1;01-jan-yyyy;2,011;1;2;2929,81;564,44;3;659466,48;6825793,22;Comerciário;Rua_Agrícola_Indio_Guimarãe;NA;Pilar_Imoveis;34377000;ZR1 -2;0,74;0,56;0,55;0,31;0,42;0,56
204;764;50000;109,34;457,27;15;30,48;2;3;01-ago-yyyy;2,012;1;4;1559,3;1495,49;2;658511,66;6824469,6;FÁBIO_SILVA;Rua_Domingos_Netto;Lot._Jatobá;Góes_Imóveis;3045-3344;ZR2 - 4;0,59;0,29;0,34;0,09;0,17;1,5
205;768;65000;154,76;420;14;30;2;3;01-ago-yyyy;2,012;1;4;1203,57;1714,47;2;658477,38;6824103,82;FÁBIO_SILVA;Rua_Zelio_Paulo_Galli;Esq_com_epitácio_pessoa;Nazaré;99171041;ZR2 - 4;0,58;0,22;0,34;0,05;0,13;1,71
206;799;120000;285,71;420;14;30;1;3;01-set-yyyy;2,012;1;2;4944,43;1136,99;2;659070,52;6827632,99;LOTE_SEIS_;R_Inácio_Tomé_Pereira;NA;Dados;84143662;ZR1 - 2;0,68;0,93;0,46;0,86;0,63;1,14
207;800;120000;285,71;420;14;30;2;2;01-set-yyyy;2,012;1;2;7112,17;962,36;2;659180,21;6827450,45;LOTE_SEIS_;Rua_das_Palmeiras;NA;Dados;84143662;ZR1 - 2;0,7;0,89;0,49;0,79;0,62;0,96
208;801;105000;269,23;390;15;26;2;2;01-fev-yyyy;2,013;1;2;1942,88;1464,29;1;658590,03;6827908,22;LOTE_SEIS_;Rua_Noel_Rosa;NA;Góes_Imóveis;3045-3344;ZR1 - 2;0,6;0,98;0,36;0,96;0,59;1,46
209;802;110000;244,44;450;15;30;2;2;01-fev-yyyy;2,013;1;2;1826,9;1501,54;1;658451,67;6827907,16;LOTE_SEIS_;Rua_Aristides_Bolan_esq_Sil;NA;Viva;3045-5390;ZR1 - 2;0,58;0,98;0,33;0,96;0,56;1,5
210;803;120000;301,89;397,5;15;26,5;2;1;01-fev-yyyy;2,013;1;2;3972,7;1091,04;1;658941,92;6827585,21;LOTE_SEIS_;Rua_Eng._Fiuza_da_Rocha;2_frentes_Rua_Noel_Rosa;Manoel_Marques;9669-2494;ZR1 - 2;0,66;0,92;0,43;0,84;0,6;1,09
211;804;170000;435,9;390;15;26;2;1;01-fev-yyyy;2,013;1;2;3711,41;1050,4;1;658900,29;6827541,3;LOTE_SEIS_;Rua_Eng._Fiuza_da_Rocha_esq;NA;Anderson_Machad;9954-7899;ZR1 - 2;0,65;0,91;0,42;0,82;0,59;1,05
212;805;385243,25;493,9;780;30;26;2;3;01-fev-yyyy;2,013;1;2;4088,16;1221,26;1;659032,62;6827717,25;LOTE_SEIS_;Rua_Otavio_Manoel_de_Souza;NA;Seletto;3045-7836;ZR1 - 2;0,67;0,94;0,45;0,89;0,63;1,22
213;806;200000;544,22;367,5;15;24,5;2;2;01-fev-yyyy;2,013;1;2;4443,91;1077,23;1;658988,04;6827572,97;LOTE_SEIS_;Rua_Inácio_Tomé_Pereira;NA;Pilar;3437-7000;ZR1 - 2;0,66;0,91;0,44;0,84;0,61;1,08
214;807;150000;357,14;420;14;30;2;1;01-fev-yyyy;2,013;1;2;4743,63;1064,81;1;659013,18;6827560,7;LOTE_SEIS_;Rua_Inácio_Tomé_Pereira;NA;Proprietário;3433-2258;ZR1 - 2;0,67;0,91;0,45;0,83;0,61;1,06
215;808;220000;467,09;471;12;39,25;1;2;01-jun-yyyy;2,012;1;2;3258,23;1103,7;2;658906,6;6825263,38;Michel;Rua_Duarte_da_Costa;NA;Locativa_Imóvie;34371112;ZR1 - 2;0,65;0,45;0,42;0,2;0,29;1,1
216;809;200000;424,63;471;16;29,44;1;3;01-jun-yyyy;2,012;1;2;3258,23;1103,7;2;658906,6;6825263,38;Michel;Rua_Duarte_da_Costa;NA;Duda_Im.;34687777;ZR1 - 2;0,65;0,45;0,42;0,2;0,29;1,1
217;810;200000;424,63;471;12;39,25;1;3;01-jun-yyyy;2,012;1;2;3258,23;1103,7;2;658906,6;6825263,38;Michel;Rua_Duarte_da_Costa;NA;Duda_Im.;34687777;ZR1 - 2;0,65;0,45;0,42;0,2;0,29;1,1
218;811;220000;467,09;471;12;39,25;1;3;01-jun-yyyy;2,012;1;2;2923,73;1199,82;2;659283,34;6825182,81;Michel;Rua_Duarte_da_Costa;NA;Locativa_Imóvie;34371112;ZR1 - 2;0,71;0,44;0,51;0,19;0,31;1,2
219;812;220000;467,09;471;12;39,25;1;2;01-jun-yyyy;2,012;1;2;2923,73;1199,82;2;659283,34;6825182,81;Michel;Rua_Duarte_da_Costa;NA;Locativa_Imóvie;34371112;ZR1 - 2;0,71;0,44;0,51;0,19;0,31;1,2
220;813;200000;424,63;471;12,5;37,68;1;3;01-jun-yyyy;2,012;1;2;3258,23;1103,7;2;658906,6;6825263,38;Michel;Rua_Duarte_da_Costa;NA;Duda_Im.;34687777;ZR1 - 2;0,65;0,45;0,42;0,2;0,29;1,1
221;814;215000;581,08;370;12,5;29,6;1;3;01-jun-yyyy;2,012;1;2;3124,13;931,58;2;658622,51;6825372,31;Michel;Rua_Senador_Paulo_Sarazate;NA;Duda_Im.;34687777;ZR1 - 2;0,6;0,47;0,36;0,23;0,29;0,93
222;815;220000;523,81;420;15;28;1;1;01-mai-yyyy;2,012;1;2;3045,96;1117;2;658754,31;6825211,49;Michel;Rua_Duarte_da_Costa;NA;Locativa_Imóvie;34371112;ZR1 - 2;0,63;0,44;0,39;0,2;0,28;1,12
223;816;220000;523,81;420;15;28;1;3;01-mai-yyyy;2,012;1;2;3045,96;1117;2;658754,31;6825211,49;Michel;Rua_Duarte_da_Costa;NA;Locativa_Imóvie;34371112;ZR1 - 2;0,63;0,44;0,39;0,2;0,28;1,12
224;817;220000;523,81;420;15;28;1;3;01-mai-yyyy;2,012;1;2;2937,69;1214,27;2;659252,01;6825179,4;Michel;Rua_Duarte_da_Costa;NA;Locativa_Imóvie;34371112;ZR1 - 2;0,71;0,44;0,5;0,19;0,31;1,21
225;818;220000;523,81;420;15;28;1;3;01-mai-yyyy;2,012;1;2;3045,96;1117;2;658754,31;6825211,49;Michel;Rua_Duarte_da_Costa;NA;Locativa_Imóvie;34371112;ZR1 - 2;0,63;0,44;0,39;0,2;0,28;1,12
226;819;207000;445,16;465;15;31;1;3;01-jan-yyyy;2,012;1;2;2969,22;1159,89;2;659310,19;6825215,47;Michel;Rua_Duarte_da_Costa;NA;Goes_Imóveis;3045-3344;ZR1 - 2;0,72;0,44;0,52;0,2;0,32;1,16
227;820;129862,28;377,78;343,75;12,05;28,53;2;1;01-nov-yyyy;2,012;1;2;1247,61;1101,9;2;657626,08;6824112,79;Milanese;Rua_Anita_Spilere_Benedet_;NA;Dados;96501478;ZR1 - 2;0,44;0,22;0,19;0,05;0,1;1,1
228;821;55000;130,95;420;14;30;2;3;01-ago-yyyy;2,012;1;2;1414,63;507,56;2;657406,17;6824736,39;Milanese;Rua_Felix_de_Lucca;NA;Locativa_Imóvie;34371112;ZR1 - 2;0,4;0,35;0,16;0,12;0,14;0,51
229;822;70000;155,56;450;15;30;2;2;01-ago-yyyy;2,012;1;2;1198,72;1160,85;2;657826,05;6824231,73;Milanese;Rua_Francisco_Milanez;NA;Magagnin;35245890;ZR1 - 2;0,47;0,25;0,22;0,06;0,12;1,16
