;DADO;VALOR;VU;AREALOTE;TESTADA;PROFUND;PAVIM;TOPOGRAF;DATA;TEMPO;IA;N_PAV;RENDA;CENTENA;ANOS;E;N;BAI_LOC;ENDERECO;COMPL;FONTE;TELEFONE;ZF_NOVA;ET;NT;ET2;NT2;ETNT;D_AV
258;854;137000;304,44;450;15;30;2;3;01-ago-yyyy;2,012;1;2;2028,62;579,49;2;656740,44;6823957,05;PINHEIRINHO;Rua_Arthur_Eugenio_da_Silve;NA;Dados;91190367;ZR1 - 2;0,29;0,19;0,08;0,04;0,06;0,58
259;855;165000;323,53;510;17;30;1;3;01-ago-yyyy;2,012;1;2;2060,28;533,59;2;656719,18;6823997,88;PINHEIRINHO;Rua_Arthur_Eugenio_da_Silve;NA;Dados;99299556;ZR1 - 2;0,29;0,2;0,08;0,04;0,06;0,53
260;856;123100;287,73;427,83;14,26;30;1;2;01-ago-yyyy;2,012;1;2;2422,2;994,11;2;658338,81;6825232,29;PINHEIRINHO;Rua_Duarte_da_Costa_;esq_com_Washington_Luiz;Nazaré;99171041;ZR1 - 2;0,56;0,45;0,31;0,2;0,25;0,99
261;857;145000;322,22;450;15;30;1;1;01-ago-yyyy;2,012;1;2;1865,01;503,04;2;656848,14;6824156,59;PINHEIRINHO;Rua_Imigrante_de_Lucca;NA;Ricardo_Martinh;99845888;ZR1 - 2;0,31;0,23;0,09;0,05;0,07;0,5
262;858;145000;322,22;450;15;30;1;1;01-ago-yyyy;2,012;1;2;1855,91;475,56;2;656827,01;6824174,19;PINHEIRINHO;Rua_Imigrante_de_Lucca;NA;Predial;99780378;ZR1 - 2;0,3;0,23;0,09;0,06;0,07;0,48
263;859;115000;273,81;420;14;30;1;1;01-ago-yyyy;2,012;1;2;1884,72;444,88;2;656784,3;6824172,43;PINHEIRINHO;Rua_Imigrante_de_Lucca;NA;Santa_Clara;99783563;ZR1 - 2;0,3;0,23;0,09;0,05;0,07;0,44
264;860;105000;250;420;14;30;1;1;01-ago-yyyy;2,012;1;2;1912,95;474,65;2;656804,55;6824150,43;PINHEIRINHO;Rua_Imigrante_de_Lucca;NA;Dados;96160375;ZR1 - 2;0,3;0,23;0,09;0,05;0,07;0,47
265;861;115000;255,56;450;15;30;2;1;01-ago-yyyy;2,012;1;2;1874,64;566,82;2;656890,41;6824108,18;PINHEIRINHO;Rua_Imigrante_de_Lucca;Esq;Dados;99880880;ZR1 - 2;0,32;0,22;0,1;0,05;0,07;0,57
266;862;110000;305,56;360;12;30;2;1;01-ago-yyyy;2,012;1;2;1863,94;602,44;2;656914,19;6824081,33;PINHEIRINHO;Rua_Imigrante_de_Lucca;NA;Dados;99880880;ZR1 - 2;0,32;0,22;0,1;0,05;0,07;0,6
267;863;140000;311,11;450;15;30;2;1;01-ago-yyyy;2,012;1;2;1848,26;630,34;2;656933,12;6824060,65;PINHEIRINHO;Rua_Imigrante_de_Lucca;NA;Dados;96613728;ZR1 - 2;0,32;0,21;0,1;0,04;0,07;0,63
268;864;150000;333,33;450;15;30;2;1;01-ago-yyyy;2,012;1;2;2401,53;1013,05;2;658348,23;6825194,5;PINHEIRINHO;Rua_Mem_de_Sá;NA;Proprietario;99933832;ZR1 - 2;0,56;0,44;0,31;0,19;0,24;1,01
269;865;140000;358,97;390;13;30;1;2;01-ago-yyyy;2,012;1;2;2539,74;1069,71;2;658410,61;6825189,71;PINHEIRINHO;Rua_Mem_de_Sá;NA;Proprietario;99645181;ZR1 - 2;0,57;0,44;0,32;0,19;0,25;1,07
270;866;100000;238,1;420;14;30;1;3;01-ago-yyyy;2,012;1;2;2101,28;549,35;2;656779,59;6824021,56;PINHEIRINHO;Rua_Otavio_Ghedin;NA;Multimoveis;34379363;ZR1 - 2;0,3;0,2;0,09;0,04;0,06;0,55
271;867;105000;233,33;450;15;30;1;3;01-ago-yyyy;2,012;1;2;2131,04;513,97;2;656752,08;6824044,9;PINHEIRINHO;Rua_Otavio_Ghedin;NA;Reginaldo;96138060;ZR1 - 2;0,29;0,21;0,09;0,04;0,06;0,51
272;868;120000;235,29;510;17;30;1;3;01-ago-yyyy;2,012;1;2;2075,05;486,06;2;656731,23;6824064,07;PINHEIRINHO;Rua_Otavio_Ghedin;NA;João;99941682;ZR1 - 2;0,29;0,21;0,08;0,05;0,06;0,49
273;869;137000;326,19;420;14;30;1;3;01-ago-yyyy;2,012;1;2;1983,89;560,35;2;656844,36;6824066,6;PINHEIRINHO;Rua_Piçarras;NA;Nazaré;99171041;ZR1 - 2;0,31;0,21;0,09;0,05;0,07;0,56
274;870;95000;226,19;420;14;30;1;3;01-ago-yyyy;2,012;1;2;1977,67;596,06;2;656857,78;6824029,1;PINHEIRINHO;Rua_Verginio_Dorigon;NA;Ricardo_Martinh;99845888;ZR1 - 2;0,31;0,21;0,1;0,04;0,06;0,6
275;871;135000;300;450;15;30;1;1;01-ago-yyyy;2,012;1;2;2015,58;508,94;2;656799,8;6824094,38;PINHEIRINHO;Rua_Verginio_Dorigon;NA;Ricardo_Martinh;99845888;ZR1 - 2;0,3;0,22;0,09;0,05;0,07;0,51
276;872;120000;307,69;390;13;30;1;1;01-ago-yyyy;2,012;1;2;1976,31;472,78;2;656778,48;6824124,36;PINHEIRINHO;Rua_Verginio_Dorigon;NA;Avalizan;3045-5598;ZR1 - 2;0,3;0,22;0,09;0,05;0,07;0,47
277;873;135000;321,43;420;14;30;1;3;01-ago-yyyy;2,012;1;2;2101,28;549,35;2;656779,59;6824021,56;PINHEIRINHO;Rua_Verginio_Dorigon;NA;Imovest;99834700;ZR1 - 2;0,3;0,2;0,09;0,04;0,06;0,55
278;874;150000;333,33;450;15;30;2;3;01-ago-yyyy;2,012;1;2;2131,05;513,97;2;656752,08;6824044,9;PINHEIRINHO;Rua_Verginio_Dorigon;NA;Multimoveis;99849937;ZR1 - 2;0,29;0,21;0,09;0,04;0,06;0,51
279;875;157000;348,89;450;15;30;1;3;01-ago-yyyy;2,012;1;2;2075,05;486,05;2;656731,23;6824064,07;PINHEIRINHO;Rua_Verginio_Dorigon;NA;Dados;88347054;ZR1 - 2;0,29;0,21;0,08;0,05;0,06;0,49
280;876;200000;476,19;420;14;30;1;3;01-ago-yyyy;2,012;1;2;1508,62;189,99;2;656249,88;6824288,62;PINHEIRINHO;SD_140-089;NA;Proprietario;99580491;ZR1 - 2;0,21;0,26;0,04;0,07;0,05;0,19
281;877;210000;466,67;450;15;30;1;3;01-ago-yyyy;2,012;1;2;1508,62;189,99;2;656249,88;6824288,62;PINHEIRINHO;SD_140-089;NA;Helso;99880880;ZR1 - 2;0,21;0,26;0,04;0,07;0,05;0,19
282;878;160000;206,63;774,34;16;48,4;2;3;01-jun-yyyy;2,012;1;2;1492,15;477,72;2;657008,4;6824376,05;PINHEIRINHO;Rua_Baln._Camboriu;Lote_09_e_10_Qd_14_prox_;Duda_Im.;34687777;ZR1 - 2;0,33;0,28;0,11;0,08;0,09;0,48
283;880;700000;1000;700;20;35;1;3;01-jun-yyyy;2,012;1;2;1492,38;34,76;2;657029,84;6825028,09;PINHEIRINHO;Rua_Conego_Anibal_Maria_de_;Prox_ao_Posto_Pinheirão;Duda_Im.;34687777;ZR1 - 2;0,34;0,41;0,11;0,16;0,14;0,03
284;882;300000;600;500;16;31,25;2;3;01-jun-yyyy;2,012;1;2;1474,84;312,97;2;657285,74;6824891,41;PINHEIRINHO;Rua_Martinho_Lutero_;Lote_82_Qd_11_Lot_Aeropo;Duda_Im.;34687777;ZR1 - 2;0,38;0,38;0,15;0,14;0,14;0,31
285;884;78124,74;189,05;413,25;14,5;28,5;2;3;01-abr-yyyy;2,011;1;2;1601,09;376,83;3;656844,19;6824345,82;PINHEIRINHO;Rua_Baln._Camboriu;Lot._Kuka;Avalizan;3045-5598;ZR1 - 2;0,31;0,27;0,09;0,07;0,08;0,38
286;885;55000;173,91;316,25;12;26,35;2;3;01-jun-yyyy;2,012;1;2;1178,66;797,32;2;656279,35;6825481,92;PINHEIRINHO;Rua_Carlos_Scavone;Prox_a_Igreja_O_Brasil_p;Duda_Im.;34687777;ZR1 - 2;0,21;0,5;0,05;0,25;0,11;0,8
287;886;817652,15;564,61;1448,16;20;72,41;1;3;01-jun-yyyy;2,012;1;2;1292,71;28,1;2;656665,99;6824781,15;PINHEIRINHO;Avenida_Centenario;Alianda_Comercio_de_Piso;Avalizan;3045-5598;ZR1 - 2;0,28;0,36;0,08;0,13;0,1;0,03
288;898;150000;333,33;450;15;30;1;3;01-fev-yyyy;2,013;3;8;1599,04;381,12;1;657688,76;6825242,09;Santa_Bárba;Rua_Visconde_de_Cairu_esq._;Prox_ao_Fórum;Duda_Im.;34687777;ZM2 -8;0,45;0,45;0,2;0,2;0,2;0,38
289;899;165000;471,43;350;12,5;28;1;3;01-ago-yyyy;2,012;3;8;2263,71;734,11;2;658221,09;6825516,8;SANTA_BÁRBA;Av_Victor_Meireles;NA;Paulão;99941636;ZM2 -8;0,54;0,5;0,29;0,25;0,27;0,73
290;900;155000;344,44;450;15;30;2;3;01-ago-yyyy;2,012;3;8;1779,88;487,86;2;657849,35;6825361,58;Santa_Bárba;Rua_Afranio_Peixoto;NA;Proprietário;34783695;ZM2 -8;0,47;0,47;0,23;0,22;0,22;0,49
291;901;140000;333,33;420;14;30;2;3;01-ago-yyyy;2,012;3;8;1848,42;416,45;2;657800,84;6825567,63;Santa_Bárba;Rua_Aluísio_de_Azevedo;NA;Duda_Imóveis;34687777;ZM2 -8;0,47;0,51;0,22;0,26;0,24;0,42
292;902;150000;357,14;420;14;30;1;3;01-ago-yyyy;2,012;3;8;2176,57;589,64;2;658194,06;6825660,65;Santa_Bárba;Rua_Domenico_Sônego;NA;Nazaré;99171041;ZM2 - 8;0,53;0,53;0,28;0,28;0,28;0,59
293;903;210000;466,67;450;15;30;1;2;01-ago-yyyy;2,012;3;8;2176,57;589,64;2;658194,06;6825660,65;Santa_Bárba;Rua_Domenico_Sônego;NA;Rita_Bráz;99488080;ZM2 - 8;0,53;0,53;0,28;0,28;0,28;0,59
294;904;430000;489,19;879;30;29,3;1;2;01-ago-yyyy;2,012;3;8;3167,96;1058,23;2;658743,81;6825269,48;Santa_Bárba;Rua_Duarte_da_Costa;NA;Imovest;99788730;ZM2 -8;0,62;0,45;0,39;0,21;0,28;1,06
295;905;160000;355,56;450;17;26,47;1;3;01-ago-yyyy;2,012;3;8;1650,42;125,52;2;658119,96;6826123,1;Santa_Bárba;Rua_Henrique_Lage;Esq_com_angelo_peruchi;Proprietario;34427890;ZM2 - 8;0,52;0,62;0,27;0,39;0,32;0,13
296;906;135000;375;360;12;30;2;3;01-ago-yyyy;2,012;3;8;1921,21;510,92;2;657987,39;6825659,29;Santa_Bárba;Rua_José_Milanez;NA;Proprietario;99934730;ZM2 -8;0,5;0,53;0,25;0,28;0,26;0,51
297;907;120000;285,71;420;14;30;2;3;01-ago-yyyy;2,012;3;8;1893,86;520,18;2;657898,53;6825442,38;Santa_Bárba;Rua_Presidente_Roosevelt;NA;Dinamica;99042054;ZM2 -8;0,48;0,49;0,23;0,24;0,24;0,52
298;908;150000;294,12;510;17;30;2;3;01-ago-yyyy;2,012;1;2;3211,69;903,39;2;658658,37;6825408,48;Santa_Bárba;Rua_Senador_Paulo_Sarazate;NA;Proprietario;99296412;ZR1-2;0,61;0,48;0,37;0,23;0,29;0,9
299;909;150000;320,51;468;20;23,4;1;3;01-ago-yyyy;2,012;3;8;1792,44;539,71;2;657896,51;6825337,34;Santa_Bárba;Rua_Visconde_de_Cairu;NA;Nogueira;96135647;ZM2 -8;0,48;0,47;0,23;0,22;0,23;0,54
300;910;160000;420,07;380,89;15;25,39;2;3;01-jun-yyyy;2,012;3;8;1760,59;355,18;2;657913,3;6825798,24;Santa_Bárba;Rua_Oswaldo_Alberto_Maier;Prox_ao_Nei_Frangos;Duda_Im.;34687777;ZM2 - 8;0,49;0,56;0,24;0,31;0,27;0,36
301;911;165435;551,45;300;15;20;1;3;01-mai-yyyy;2,012;3;8;1763,06;431,13;2;657798,57;6825391,27;Santa_Bárba;Rua_José_de_Alencar;Casa_SN;Avalizan;3045-5598;ZM2 -8;0,47;0,48;0,22;0,23;0,22;0,43
302;913;207000;445,16;465;15;31;1;3;01-mai-yyyy;2,012;2;8;2570,63;607,4;2;658387,25;6825652,91;Santa_Bárba;Rua_Machado_de_Assis;NA;Goes_Imóveis;3045-3344;ZR3 - 8;0,56;0,53;0,32;0,28;0,3;0,61
303;915;170000;365,59;465;15;31;2;2;01-nov-yyyy;2,012;1;2;2894,56;1105,81;2;658607,22;6825189,14;Santa_Bárba;Rua_Duarte_da_Costa;NA;Mandeli_Proprie;99650908;ZR1-2;0,6;0,44;0,36;0,19;0,26;1,11
304;917;1,00E+06;1483,68;674;16;42,13;2;3;01-jan-yyyy;2,012;3;8;1909,5;86,5;2;657469,82;6825733,94;Santa_Bárba;Rua_Emilio_Ventura_Hulse;NA;Avalizan;3045-5598;ZM2 - 8;0,41;0,55;0,17;0,3;0,23;0,09
305;918;600000;444,44;1350;45,5;29,67;2;3;01-jan-yyyy;2,012;2;8;2570,63;607,4;2;658387,25;6825652,91;Santa_Bárba;Rua_Machado_de_Assis;NA;Bemorar;34318900;ZR3 - 8;0,56;0,53;0,32;0,28;0,3;0,61
306;919;50981,08;157,89;322,88;16,21;19,92;2;3;15-nov-yyyy;2,012;1;2;1154,66;805,02;2;656756,88;6826336,81;Santo_Anton;Rua_Luiz_Dal_toé;lote_6;Dados;99068144;ZR1 - 2;0,29;0,67;0,09;0,45;0,2;0,81
307;920;52617,86;143,79;365,94;18;20,33;2;3;01-nov-yyyy;2,012;1;2;1193,34;812,89;2;656780,56;6826384,06;Santo_Antôn;Rua_Luiz_Dal_Toé;NA;Dados;99846852;ZR1 - 2;0,3;0,68;0,09;0,46;0,2;0,81
308;921;62000;134,78;460;15;30,67;2;2;01-set-yyyy;2,012;1;2;1539,45;1021,86;2;657014,19;6826869,29;Santo_Antôn;Rua_Valdir_Porto_Correa;NA;Dados;99621372;ZR1 - 2;0,34;0,77;0,11;0,6;0,26;1,02
309;922;63600;163,98;387,85;12;32,32;2;1;01-set-yyyy;2,012;1;2;1836,91;478,68;2;657289,78;6826396,5;Santo_Antôn;Rua_Amabile_Milanez_Sonego;Esq_com_Nereu_joao_de_Ag;Dados;99426516;ZR1 - 2;0,38;0,68;0,15;0,46;0,26;0,48
310;923;48000;113,48;423;14;30,21;2;1;01-set-yyyy;2,012;1;2;1534,4;920,07;2;657022;6826747,38;Santo_Antôn;Rua_Amabile_Milanez_Sonego;NA;Dados;34332211;ZR1 - 2;0,34;0,75;0,11;0,56;0,25;0,92
311;924;49000;117,22;418;13;32,15;2;1;01-set-yyyy;2,012;1;2;1539,01;893,06;2;657041,07;6826727,95;Santo_Antôn;Rua_Amabile_Milanez_Sonego;NA;Dados;34338031;ZR1 - 2;0,34;0,75;0,12;0,56;0,25;0,89
312;925;52000;120,09;433;14;30,93;2;1;01-set-yyyy;2,012;1;2;1531,29;785,54;2;657098,58;6826636,61;Santo_Antôn;Rua_Amabile_Milanez_Sonego;NA;Dados;34337655;ZR1 - 2;0,35;0,73;0,12;0,53;0,25;0,79
313;926;51000;119,16;428;14;30,57;1;1;01-set-yyyy;2,012;1;2;1546,05;752,87;2;657113,15;6826606,65;Santo_Antôn;Rua_Amabile_Milanez_Sonego;NA;Dados;34337655;ZR1 - 2;0,35;0,72;0,12;0,52;0,25;0,75
314;927;51000;134,21;380;13;29,23;2;3;01-set-yyyy;2,012;1;2;1478,28;430,03;2;657088,31;6826156,26;Santo_Antôn;Rua_Guilherme_Locks;NA;Dados;99943949;ZR1 - 2;0,35;0,63;0,12;0,4;0,22;0,43
315;928;60000;135,75;442;18;24,56;2;2;01-set-yyyy;2,012;1;2;1359,68;475,59;2;656998,06;6826103,92;Santo_Antôn;Rua_Guilherme_Locks_esq_com;Constatina_Dalmolin_Zane;Dados;9917-2025;ZR1 - 2;0,33;0,62;0,11;0,39;0,21;0,48
316;929;65000;144,44;450;15;30;2;1;01-set-yyyy;2,012;1;2;1687,1;618,47;2;657263,53;6826552,12;Santo_Antôn;Rua_Hermogenes_Mauricio;NA;Duda_Im.;34687777;ZR1 - 2;0,38;0,71;0,14;0,5;0,27;0,62
317;930;55000;130,95;420;14;30;2;1;01-set-yyyy;2,012;1;2;1784,37;245,83;2;657368,37;6826164,75;Santo_Antôn;Rua_Jocy_Pereira;NA;Crilar;99824242;ZR1 - 2;0,39;0,63;0,16;0,4;0,25;0,25
318;931;95000;218,96;433,87;15;28,92;2;3;01-set-yyyy;2,012;1;2;1517,73;352,69;2;657048,56;6825926,7;Santo_Antôn;Rua_Luiz_Dal_Toé;NA;Locativa_Imóvei;34371112;ZR1 - 2;0,34;0,59;0,12;0,34;0,2;0,35
319;932;50000;114,94;435;14;31,07;1;2;01-set-yyyy;2,012;1;2;1223,59;921,17;2;656682,23;6826433,15;Santo_Antôn;Rua_Luiz_Dal_Toé;NA;Imovest;3437 5522;ZR1 - 2;0,28;0,69;0,08;0,47;0,19;0,92
320;933;67000;152,27;440;14;31,43;2;3;01-set-yyyy;2,012;1;2;1602,64;795,65;2;657201,19;6826727,27;Santo_Antôn;Rua_Martin_Afonso_de_Souza;NA;Dados;99649450;ZR1 - 2;0,37;0,75;0,13;0,56;0,27;0,8
321;934;64000;142,22;450;15;30;1;2;01-set-yyyy;2,012;1;2;1630;733,16;2;657241,45;6826679,38;Santo_Antôn;Rua_Martin_Afonso_de_Souza;Esq_com_Severino_p_silva;Projetar;34332211;ZR1 - 2;0,37;0,74;0,14;0,54;0,27;0,73
322;935;85000;188,89;450;15;30;2;3;01-set-yyyy;2,012;1;2;1840,18;403,45;2;657287,82;6826301,13;Santo_Antôn;Rua_Prof_Clotildes_M_Martin;esq_Severino_Pereira_Sil;Dados;99848518;ZR1 - 2;0,38;0,66;0,15;0,44;0,25;0,4
323;936;54000;137,29;393,32;12;32,78;2;1;01-set-yyyy;2,012;1;2;1632,54;591,61;2;657159,31;6826440,24;Santo_Antôn;Rua_Prof_Clotildes_M_Martin;NA;Dados;99175538;ZR1 - 2;0,36;0,69;0,13;0,47;0,25;0,59
324;937;80000;184,76;433;14;30,93;2;3;01-set-yyyy;2,012;1;2;1836,17;433,66;2;657261,97;6826319,64;Santo_Antôn;Rua_Prof_Clotildes_M_Martin;NA;Dados;99644932;ZR1 - 2;0,38;0,66;0,14;0,44;0,25;0,43
325;938;52500;135,9;386,3;13;29,72;2;3;01-set-yyyy;2,012;1;2;1706,78;534,51;2;657193,71;6826394,66;Santo_Antôn;Rua_Prof_Clotildes_M_Martin;NA;Dados;91298003;ZR1 - 2;0,37;0,68;0,13;0,46;0,25;0,53
326;939;54000;136,45;395,75;14;28,27;2;3;01-set-yyyy;2,012;1;2;1499,16;744,9;2;657068,66;6826563,86;Santo_Antôn;Rua_Prof_Clotildes_M_Martin;NA;Duda_Im.;34687777;ZR1 - 2;0,34;0,71;0,12;0,51;0,25;0,74
327;940;48000;137,54;348,98;12;29,08;2;3;01-set-yyyy;2,012;1;2;1507,89;830,33;2;657022,88;6826636,21;Santo_Antôn;Rua_Prof_Clotildes_M_Martin;NA;Duda_Im.;34687777;ZR1 - 2;0,34;0,73;0,11;0,53;0,25;0,83
328;941;54000;124,71;433;13;33,31;1;1;01-set-yyyy;2,012;3;4;1520,14;1296,6;2;656592,42;6826887,84;Santo_Antôn;Rua_Sd_1687-059;NA;Dados;34427898;ZM2 - 4;0,27;0,78;0,07;0,6;0,21;1,3
329;942;56000;124,44;450;15;30;2;2;01-set-yyyy;2,012;1;2;1553,64;1343,51;2;656569,25;6826930,29;Santo_Antôn;Rua_Sd_1687-059;NA;Dados;99842137;ZR1 - 2;0,26;0,79;0,07;0,62;0,21;1,34
330;943;90000;207,47;433,8;15;28,92;2;2;01-set-yyyy;2,012;1;2;1417,16;720,25;2;656482,39;6825578,72;Santo_Antôn;SD_1669-029;NA;Locativa_Imóvei;34371112;ZR1 - 2;0,25;0,52;0,06;0,27;0,13;0,72
331;944;65000;163,96;396,44;13;30,5;2;3;01-jun-yyyy;2,012;1;2;1372,59;1030,28;2;656707,11;6826629,1;Santo_Anton;Rua_Luiz_Dal_Toé_Lote_03;Prox_ao_colégio;Duda_Im.;34687777;ZR1 - 2;0,28;0,73;0,08;0,53;0,21;1,03
332;946;55000;102,86;534,7;15;35,65;2;3;01-jun-yyyy;2,012;1;2;1605,18;641,94;2;657151,18;6826496,66;Santo_Antôn;Rua_Ferdinando_Martignagio;Jardim_Amabile_;Duda_Im.;34687777;ZR1 - 2;0,36;0,7;0,13;0,49;0,25;0,64
333;947;48000;110,24;435,41;13;33,49;2;3;01-jun-yyyy;2,012;1;2;1222,18;863,34;2;656749,39;6826426,3;Santo_Antôn;Rua_Luiz_Dal_Toé;Prox_ao_Motel_Talismã;Duda_Im.;34687777;ZR1 - 2;0,29;0,69;0,09;0,47;0,2;0,86
334;948;63600;162,24;392;12;32,67;2;3;01-jun-yyyy;2,012;1;2;1455,24;1199,2;2;656611,38;6826771,4;Santo_Antôn;Rua_Luiz_Dal_Toé_Lote_04_Qd;Prox_ao_Motel_Talismã;Duda_Im.;34687777;ZR1 - 2;0,27;0,75;0,07;0,57;0,2;1,2
335;949;90000;219,89;409,29;13;31,48;2;1;01-jun-yyyy;2,012;1;2;1801,46;287,31;2;657391,94;6826233,77;Santo_Antôn;Rua_Professora_Clotides_Mar;Prox_a_Tiscoski;Duda_Im.;34687777;ZR1 - 2;0,4;0,65;0,16;0,42;0,26;0,29
336;950;64000;164,09;390,02;13;30;1;3;01-jun-yyyy;2,012;1;2;1243,03;988,43;2;656613,43;6826452,19;Santo_Antôn;Rua_Projetada_paralela_com_;Lote_03_Qd;Duda_Im.;34687777;ZR1 - 2;0,27;0,69;0,07;0,48;0,19;0,99
337;951;64000;163,26;392,02;13;30,16;2;3;01-jun-yyyy;2,012;1;2;1115,33;683,99;2;656825,03;6826220,1;Santo_Antôn;Rua_Projetada_;paralela_com_a_Rua_Joinv;Duda_Im.;34687777;ZR1 - 2;0,3;0,64;0,09;0,41;0,2;0,68
338;952;42424,91;103,08;411,58;20,36;20,22;2;1;01-jun-yyyy;2,011;1;2;1566,92;835;3;657096,09;6826696,84;Santo_Anton;Rua_Profª_Clodiltes_M._Lala;Lote_04_Quadra_E;Avalizan;3045-5598;ZR1 - 2;0,35;0,74;0,12;0,55;0,26;0,84
339;953;35121,2;97,56;360;18;20;2;2;01-mai-yyyy;2,011;1;2;1305,75;1106,15;3;656521,95;6826526,9;Santo_Anton;Rua_Turvo;NA;Avalizan;3045-5598;ZR1 - 2;0,25;0,71;0,06;0,5;0,18;1,11
340;954;26644,34;82,94;321,26;16,25;19,77;2;2;01-jan-yyyy;2,011;1;2;1357,25;1167,24;3;656484,36;6826579,46;Santo_Antôn;Rua_Turvo;Lote_02;Avalizan;3045-5598;ZR1 - 2;0,25;0,72;0,06;0,51;0,18;1,17
341;955;60000;166,67;360;18;20;2;3;01-mar-yyyy;2,013;1;2;1156,43;893,1;1;656642,42;6826322,91;Santo_Antôn;Rua_Ataide_Botelho;NA;Marizabel;3433-7655;ZR1 - 2;0,27;0,66;0,07;0,44;0,18;0,89
342;956;60000;165,29;363;17,7;20,51;2;3;01-mar-yyyy;2,013;1;2;1175,43;922,9;1;656624,68;6826350,24;Santo_Antôn;Rua_Ataide_Botelho;NA;Marizabel;3433-7655;ZR1 - 2;0,27;0,67;0,07;0,45;0,18;0,92
343;957;110000;268,76;409,29;18,5;22,12;2;3;01-mar-yyyy;2,013;1;2;1499,6;808,17;1;657022,56;6826608,52;Santo_Antôn;Rua_Professora_Clotides_Mar;NA;Duda_Im.;34687777;ZR1 - 2;0,34;0,72;0,11;0,52;0,24;0,81
344;958;60000;135,75;442;19;23,26;2;1;01-mar-yyyy;2,013;1;2;1489,22;931,24;1;656950,51;6826708,3;Santo_Antôn;Rua_Professora_Clotides_Mar;NA;Duda_Im.;34687777;ZR1 - 2;0,33;0,74;0,11;0,55;0,24;0,93
345;959;75000;173,61;432;16;27;2;1;01-mar-yyyy;2,013;1;2;1493,95;971,13;1;656934,28;6826745,85;Santo_Antôn;Rua_Professora_Clotides_Mar;NA;Silvestre;9942-6516;ZR1 - 2;0,32;0,75;0,1;0,56;0,24;0,97
346;960;70000;215,38;325;13;25;2;3;01-mar-yyyy;2,013;1;2;1566,36;1372,31;1;656570,18;6826969,8;Santo_Antôn;Rua_Sd_1687-059;NA;Helma;3437-0027;ZR1 - 2;0,26;0,79;0,07;0,63;0,21;1,37
347;961;60000;137,43;436,58;18,57;23,51;2;3;01-mar-yyyy;2,013;1;2;1575,66;653,62;1;657129,32;6826495,14;Santo_Antôn;Rua_Professora_Clotides_Mar;NA;Locativa_Imóvei;34371112;ZR1 - 2;0,35;0,7;0,13;0,49;0,25;0,65
348;964;1200000;2909,09;412,5;15;27,5;1;3;01-set-yyyy;2,012;4;16;4312,43;500,57;2;659844,32;6826807,98;Centro;Rua_Felipe_Schimidt;Ao_lado_do_1_tabelionato;Pilar_Imóveis;34377000;ZC2-16;0,81;0,76;0,65;0,58;0,61;0,5
349;966;1200000;2242,99;535;15;35,67;1;3;01-set-yyyy;2,012;4;16;4269,94;360,85;2;659144,67;6826848,31;Centro;Rua_João_Pessoa;NA;Pilar_Imóveis;34377000;ZC2-16;0,69;0,77;0,48;0,59;0,53;0,36
350;968;1,00E+06;946,97;1056;16;66;1;3;01-mar-yyyy;2,014;4;16;3482,33;61,09;1;660016;6826365,53;Centro;Rua_Major_Acácio_Moreira;Prox._A_Kolina;Duda_Im.;34687777;ZC2-16;0,84;0,67;0,7;0,45;0,56;0,06
351;969;1600000;2133,33;750;14,5;51,72;1;3;01-mar-yyyy;2,014;4;16;6004,55;449,23;1;659285,61;6826911,31;Centro;Rua_Barão_do_Rio_Branco;NA;Duda_Im.;34687777;ZC2-16;0,71;0,78;0,51;0,61;0,56;0,45
352;970;1300000;4062,5;320;15;21,33;1;3;01-set-yyyy;2,012;4;16;4358,5;482,12;2;659032,65;6826978,1;Centro;Rua_João_Pessoa;Em_frente_ao_ed._Uno;Dados;NA;ZC2-16;0,67;0,8;0,45;0,63;0,53;0,48
